GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US420710103002,420710103002,"Block Group 2, Census Tract 103, Lancaster County, Pennsylvania",3317,384,3154,370,46,43,0,10,0,10,0,10,64,71,53,65,0,10,53,65
1500000US420710103003,420710103003,"Block Group 3, Census Tract 103, Lancaster County, Pennsylvania",1146,277,1088,265,0,10,0,10,0,10,0,10,24,38,34,53,0,10,34,53
1500000US420710103004,420710103004,"Block Group 4, Census Tract 103, Lancaster County, Pennsylvania",929,247,929,247,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US420710103005,420710103005,"Block Group 5, Census Tract 103, Lancaster County, Pennsylvania",2371,458,2291,472,0,10,0,10,0,10,0,10,59,89,21,33,21,33,0,10
1500000US420710104001,420710104001,"Block Group 1, Census Tract 104, Lancaster County, Pennsylvania",1529,303,1439,294,55,44,0,10,0,10,0,10,0,10,35,45,0,10,35,45
1500000US420710104002,420710104002,"Block Group 2, Census Tract 104, Lancaster County, Pennsylvania",736,257,706,241,0,10,0,10,0,10,0,10,0,10,30,43,0,10,30,43
1500000US420710104003,420710104003,"Block Group 3, Census Tract 104, Lancaster County, Pennsylvania",1477,316,1413,315,0,10,0,10,0,10,17,28,14,23,33,41,0,10,33,41
1500000US420710104004,420710104004,"Block Group 4, Census Tract 104, Lancaster County, Pennsylvania",1125,371,952,342,16,38,0,10,0,10,0,10,157,228,0,10,0,10,0,10
1500000US420710105011,420710105011,"Block Group 1, Census Tract 105.01, Lancaster County, Pennsylvania",1579,231,1541,214,7,16,0,10,0,10,0,10,0,10,31,37,0,10,31,37
1500000US420710105012,420710105012,"Block Group 2, Census Tract 105.01, Lancaster County, Pennsylvania",2420,321,2283,256,98,159,0,10,0,10,0,10,20,37,19,22,14,21,5,9
1500000US420710105013,420710105013,"Block Group 3, Census Tract 105.01, Lancaster County, Pennsylvania",719,142,719,142,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US420710105021,420710105021,"Block Group 1, Census Tract 105.02, Lancaster County, Pennsylvania",1886,432,1860,433,0,10,0,10,0,10,0,10,0,10,26,41,0,10,26,41
1500000US420710105022,420710105022,"Block Group 2, Census Tract 105.02, Lancaster County, Pennsylvania",1279,338,1279,338,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US420710105023,420710105023,"Block Group 3, Census Tract 105.02, Lancaster County, Pennsylvania",2646,323,2629,323,0,10,0,10,0,10,0,10,17,27,0,10,0,10,0,10
1500000US420710105024,420710105024,"Block Group 4, Census Tract 105.02, Lancaster County, Pennsylvania",867,266,867,266,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US420710106001,420710106001,"Block Group 1, Census Tract 106, Lancaster County, Pennsylvania",850,215,850,215,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
